city,iataCode, Airport name, Location, Country,isInternational
IAO Siargao - Sayak Airport,IAO,Siargao - Sayak Airport,Surigao del Norte,Phillipines,
AML Puerto Armuellas Airport,AML,Puerto Armuellas Airport,Puerto Armuellas,Panama,
AZG Pablo L. Sidar Airport,AZG,Pablo L. Sidar Airport,"Apatzingán, Michoacán",Mexico,
BKC Buckland Airport,BKC,Buckland Airport,"Buckland, Alaska",United States,
BVE Brive – Souillac Airport,BVE,Brive – Souillac Airport,Brive-la-Gaillarde,France,
CGY Laguindingan International Airport,CGY,Laguindingan International Airport,Cagayan de Oro City,Philippines,YES
CSY Cheboksary Airport,CSY,Cheboksary Airport,"Cheboksary, Chuvashia",Russia,
DLL Dillon County Airport,DLL,Dillon County Airport,"Dillon, South Carolina",United States,
ELO Eldorado Airport,ELO,Eldorado Airport,"Eldorado, Misiones",Argentina,
FMA Formosa International Airport (El Pucú Airport),FMA,Formosa International Airport (El Pucú Airport),Formosa,Argentina,YES
GLM Glenormiston Airport,GLM,Glenormiston Airport,"Glenormiston, Queensland",Australia,
HEI Heide-Büsum Airport,HEI,Heide-Büsum Airport,"Heide, Schleswig-Holstein",Germany,
IAR Yaroslavl Airport,IAR,Yaroslavl Airport,Yaroslavl,Russia,
JAI Jaipur Airport (Sanganer Airport),JAI,Jaipur Airport (Sanganer Airport),Jaipur / Sanganer,India,
KCG Chignik Fisheries Airport (closed),KCG,Chignik Fisheries Airport (closed),"Chignik, Alaska",United States,
KOR Kokoro Airport,KOR,Kokoro Airport,Kokoro,Papua New Guinea,
LCS Las Canas Airport,LCS,Las Canas Airport,Las Canas,Costa Rica,
LRJ Le Mars Municipal Airport,LRJ,Le Mars Municipal Airport,"Le Mars, Iowa",United States,
MEP Mersing Airport,MEP,Mersing Airport,Johor,Malaysia,
MPP Mulatupo Airport,MPP,Mulatupo Airport,Mulatupo,Panamá,
NBG NAS JRB New Orleans (Alvin Callender Field),NBG,NAS JRB New Orleans (Alvin Callender Field),"New Orleans, Louisiana",United States,
ONA Winona Municipal Airport (Max Conrad Field),ONA,Winona Municipal Airport (Max Conrad Field),"Winona, Minnesota",United States,
PMY El Tehuelche Airport,PMY,El Tehuelche Airport,Puerto Madryn,Argentina,
RCQ Reconquista Airport,RCQ,Reconquista Airport,"Reconquista, Santa Fe",Argentina,
SFE San Fernando Airport,SFE,San Fernando Airport,"San Fernando City, La UNION",Philippines,
SUX Sioux Gateway Airport (Colonel Bud Day Field),SUX,Sioux Gateway Airport (Colonel Bud Day Field),"Sioux City, Iowa",United States,
TPA Tampa International Airport,TPA,Tampa International Airport,"Tampa, Florida",United States,YES
VHN Culberson County Airport,VHN,Culberson County Airport,"Van Horn, Texas",United States,
XKL KL City Air Terminal,XKL,KL City Air Terminal,Kuala Lumpur,Malaysia,
YLJ Meadow Lake Airport,YLJ,Meadow Lake Airport,"Meadow Lake, Saskatchewan",Canada,
YZT Port Hardy Airport,YZT,Port Hardy Airport,"Port Hardy, British Columbia",Canada,
ZVE Union Station,ZVE,Union Station,"New Haven, Connecticut",United States,
AAA Anaa Airport,AAA,Anaa Airport,"Anaa, Tuamotus",French Polynesia,
AMM Queen Alia International Airport,AMM,Queen Alia International Airport,Amman,Jordan,YES
AZI Bateen Airport,AZI,Bateen Airport,Abu Dhabi,United Arab Emirates,
BKD Stephens County Airport,BKD,Stephens County Airport,"Breckenridge, Texas",United States,
BVF Dama Airport,BVF,Dama Airport,Bua,Fiji,
CGZ Casa Grande Municipal Airport,CGZ,Casa Grande Municipal Airport,"Casa Grande, Arizona",United States,
CSZ Brigadier Hector Eduardo Ruiz Airport,CSZ,Brigadier Hector Eduardo Ruiz Airport,"Coronel Suárez, Buenos Aires",Argentina,
DLM Dalaman Airport,DLM,Dalaman Airport,Mu?la,Turkey,
ELP El Paso International Airport,ELP,El Paso International Airport,"El Paso, Texas",United States,YES
FMC Five Mile Airport,FMC,Five Mile Airport,"Five Mile, Alaska",United States,
GLN Goulimime Airport,GLN,Goulimime Airport,Goulimime,Morocco,
HEK Heihe Airport,HEK,Heihe Airport,"Heihe, Heilongjiang",China,
IAS Ia?i International Airport,IAS,Ia?i International Airport,Ia?i,Romania,YES
JAK Jacmel Airport,JAK,Jacmel Airport,Jacmel,Haiti,
KCH Kuching International Airport,KCH,Kuching International Airport,"Kuching, Sarawak",Malaysia,YES
KOS Sihanoukville Airport (Kompong Som),KOS,Sihanoukville Airport (Kompong Som),Sihanoukville,Cambodia,
LCV Tassignano Airport,LCV,Tassignano Airport,Lucca,Italy,
LRL Niamtougou International Airport,LRL,Niamtougou International Airport,Niamtougou,Togo,YES
MEQ Seunagan Airport,MEQ,Seunagan Airport,Meulaboh,Indonesia,
MPQ Ma'an Airport,MPQ,Ma'an Airport,Ma'an,Jordan,
NBK Suvarnabhumi International Airport,NBK,Suvarnabhumi International Airport,Bangkok,Thailand,YES
ONH Oneonta Municipal Airport,ONH,Oneonta Municipal Airport,"Oneonta, New York",United States,
PMZ Palmar Sur Airport,PMZ,Palmar Sur Airport,Palmar Sur,Costa Rica,
RCR Fulton County Airport,RCR,Fulton County Airport,"Rochester, Indiana",United States,
SFF Felts Field,SFF,Felts Field,"Spokane, Washington",United States,
SVA Savoonga Airport,SVA,Savoonga Airport,"Savoonga, Alaska",United States,
TPE Taiwan Taoyuan International Airport,TPE,Taiwan Taoyuan International Airport,"Taoyuan County, Taiwan",China,YES
VHV Verkhnevilyuysk Airport,VHV,Verkhnevilyuysk Airport,"Verkhnevilyuysk, Woehee Bueluue District, Sakha Republic",Russia,
XKO Kemano Airport,XKO,Kemano Airport,"Kemano, British Columbia",Canada,
YLL Lloydminster Airport,YLL,Lloydminster Airport,"Lloydminster, Alberta/Saskatchewan",Canada,
YZU Whitecourt Airport,YZU,Whitecourt Airport,"Whitecourt, Alberta",Canada,
ZVM Hannover Messe Bahnhof,ZVM,Hannover Messe Bahnhof,,Germany,
AAB Arrabury Airport,AAB,Arrabury Airport,"Arrabury, Queensland",Australia,
AMN Gratiot Community Airport,AMN,Gratiot Community Airport,"Alma, Michigan",United States,
