city,iataCode, Airport name, Location, Country,isInternational
CGY Laguindingan International Airport,CGY,Laguindingan International Airport,Cagayan de Oro City,Philippines,YES
FMA Formosa International Airport (El Pucú Airport),FMA,Formosa International Airport (El Pucú Airport),Formosa,Argentina,YES
TPA Tampa International Airport,TPA,Tampa International Airport,"Tampa, Florida",United States,YES
AMM Queen Alia International Airport,AMM,Queen Alia International Airport,Amman,Jordan,YES
ELP El Paso International Airport,ELP,El Paso International Airport,"El Paso, Texas",United States,YES
IAS Ia?i International Airport,IAS,Ia?i International Airport,Ia?i,Romania,YES
KCH Kuching International Airport,KCH,Kuching International Airport,"Kuching, Sarawak",Malaysia,YES
LRL Niamtougou International Airport,LRL,Niamtougou International Airport,Niamtougou,Togo,YES
NBK Suvarnabhumi International Airport,NBK,Suvarnabhumi International Airport,Bangkok,Thailand,YES
TPE Taiwan Taoyuan International Airport,TPE,Taiwan Taoyuan International Airport,"Taoyuan County, Taiwan",China,YES
LRM La Romana International Airport (Casa de Campo International Airport),LRM,La Romana International Airport (Casa de Campo International Airport),La Romana,Dominican Republic,YES
NBO Jomo Kenyatta International Airport,NBO,Jomo Kenyatta International Airport,Nairobi,Kenya,YES
SFH San Felipe International Airport,SFH,San Felipe International Airport,"San Felipe, Baja California",Mexico,YES
AAC El Arish International Airport,AAC,El Arish International Airport,El Arish,Egypt,YES
AZO Kalamazoo/Battle Creek International Airport,AZO,Kalamazoo/Battle Creek International Airport,"Kalamazoo/Battle Creek, Michigan",United States,YES
MES Polonia International Airport,MES,Polonia International Airport,Medan,Indonesia,YES
CHC Christchurch International Airport,CHC,Christchurch International Airport,Christchurch,New Zealand,YES
JAN Jackson-Evers International Airport,JAN,Jackson-Evers International Airport,"Jackson, Mississippi",United States,YES
GLS Scholes International Airport at Galveston,GLS,Scholes International Airport at Galveston,"Galveston, Texas",United States,YES
"HER Heraklion International Airport, Nikos Kazantzakis",HER,"Heraklion International Airport, Nikos Kazantzakis","Heraklion, Crete",Greece,YES
PNH Phnom Penh International Airport,PNH,Phnom Penh International Airport,Phnom Penh,Cambodia,YES
VIE Vienna International Airport,VIE,Vienna International Airport,Vienna,Austria,YES
AZS Samaná El Catey International Airport,AZS,Samaná El Catey International Airport,"El Catey, Samaná",Dominican Republic,YES
BKI Kota Kinabalu International Airport,BKI,Kota Kinabalu International Airport,Kota Kinabalu,Malaysia,YES
PNI Pohnpei International Airport,PNI,Pohnpei International Airport,Kolonia,Federated States of Micronesia,YES
SFO San Francisco International Airport,SFO,San Francisco International Airport,"San Francisco, California",United States,YES
FMO Münster Osnabrück International Airport,FMO,Münster Osnabrück International Airport,"Greven, North Rhine-Westphalia",Germany,YES
HET Hohhot Baita International Airport,HET,Hohhot Baita International Airport,"Hohhot, Inner Mongolia",China,YES
LRU Las Cruces International Airport,LRU,Las Cruces International Airport,"Las Cruces, New Mexico",United States,YES
NCE Côte d'Azur International Airport,NCE,Côte d'Azur International Airport,Nice,France,YES
BKK Suvarnabhumi Airport(New Bangkok International Airport) (Donmuang Airport),BKK,Suvarnabhumi Airport(New Bangkok International Airport) (Donmuang Airport),Bangkok,Thailand,YES
CTG Rafael Núñez International Airport,CTG,Rafael Núñez International Airport,Cartagena,Colombia,YES
HEX Herrera International Airport (closed),HEX,Herrera International Airport (closed),Santo Domingo,Dominican Republic,YES
MEX Mexico City International Airport,MEX,Mexico City International Airport,Mexico City,Mexico,YES
SFS Subic Bay International Airport,SFS,Subic Bay International Airport,"Morong, Bataan",Philippines,YES
PNQ Pune International Airport,PNQ,Pune International Airport,Pune,India,YES
YLW Kelowna International Airport,YLW,Kelowna International Airport,"Kelowna, British Columbia",Canada,YES
FNA Lungi International Airport,FNA,Lungi International Airport,Freetown,Sierra Leone,YES
JAX Jacksonville International Airport,JAX,Jacksonville International Airport,"Jacksonville, Florida",United States,YES
ONT Ontario International Airport,ONT,Ontario International Airport,"Ontario, California",United States,YES
