id,city,country_id,lat,lng,population,,country,,,,,,,,,,,,,,,,,,
8,Tehran,80,35.7,51.4167,13633000,,Iran,,,,,,,,,,,,,,,,,,
9,Tashkent,191,41.3,69.2667,2424100,,Uzbekistan,,,,,,,,,,,,,,,,,,
10,Sanaa,195,15.35,44.2,2957000,,Yemen,,,,,,,,,,,,,,,,,,
11,Phnom Penh,31,11.5696,104.921,2129371,,Cambodia,,,,,,,,,,,,,,,,,,
12,Naypyidaw,120,19.7540045,96.1344976,#N/A,,Myanmar,,,,,,,,,,,,,,,,,,
13,Muscat,132,23.6139,58.5922,1421409,,Oman,,,,,,,,,,,,,,,,,,
14,Manila,140,14.5958,120.9772,23088000,,Philippines,,,,,,,,,,,,,,,,,,
15,Male,106,4.175,73.5083,133019,,Maldives,,,,,,,,,,,,,,,,,,
16,Lhasa,37,29.65,91.1,902500,,China,,,,,,,,,,,,,,,,,,
17,Kuwait City,92,29.375,47.98,637411,,Kuwait,,,,,,,,,,,,,,,,,,
18,Kathmandu,123,27.7167,85.3667,975453,,Nepal,,,,,,,,,,,,,,,,,,
19,Kabul,1,34.5328,69.1658,3678034,,Afghanistan,,,,,,,,,,,,,,,,,,
20,Islamabad,133,33.6989,73.0369,1365000,,Pakistan,,,,,,,,,,,,,,,,,,
21,Dushanbe,174,38.5731,68.7864,780000,,Tajikistan,,,,,,,,,,,,,,,,,,
22,Doha,143,25.3,51.5333,1312947,,Qatar,,,,,,,,,,,,,,,,,,
23,Dhaka,14,23.7161,90.3961,15443000,,Bangladesh,,,,,,,,,,,,,,,,,,
24,Colombo,167,6.9167,79.8333,752993,,Sri Lanka,,,,,,,,,,,,,,,,,,
25,Bishkek,93,42.8667,74.5667,1027200,,Kyrgyzstan,,,,,,,,,,,,,,,,,,
26,Beirut,96,33.8869,35.5131,361366,,Lebanon,,,,,,,,,,,,,,,,,,
27,Bandar Seri Begawan,25,4.9167,114.9167,50000,,Brunei,,,,,,,,,,,,,,,,,,
28,Baghdad,81,33.35,44.4167,5796000,,Iraq,,,,,,,,,,,,,,,,,,
29,Astana,88,51.1333,71.4333,1078362,,Kazakhstan,,,,,,,,,,,,,,,,,,
30,Ashgabat,183,37.95,58.3833,1031992,,Turkmenistan,,,,,,,,,,,,,,,,,,
31,Amman,87,31.95,35.9333,4007526,,Jordan,,,,,,,,,,,,,,,,,,
32,Manama,13,26.2167,50.5831,157474,,Bahrain,,,,,,,,,,,,,,,,,,
33,Tbilisi,64,41.7225,44.7925,1118035,,Georgia,,,,,,,,,,,,,,,,,,
34,Baku,11,40.3667,49.8352,2181800,,Azerbaijan,,,,,,,,,,,,,,,,,,
35,Yerevan,8,40.1814,44.5144,1075800,,Armenia,,,,,,,,,,,,,,,,,,
36,Honolulu,189,21.3294,-157.846,820987,HI,USA,,,,,,,,,,,,,,,,,,
37,San Francisco,189,37.7562,-122.443,3592294,CA,USA,,,,,,,,,,,,,,,,,,
38,Orlando,189,28.4772,-81.3369,1822394,FL,USA,,,,,,,,,,,,,,,,,,
39,Las Vegas,189,36.2333,-115.2654,2104198,CA,USA,,,,,,,,,,,,,,,,,,
40,Los Angeles,189,34.1139,-118.4068,12750807,CA,USA,,,,,,,,,,,,,,,,,,
41,Miami,189,25.7839,-80.2102,6445545,FL,USA,,,,,,,,,,,,,,,,,,
42,New York,189,40.6943,-73.9249,18713220,NY,USA,,,,,,,,,,,,,,,,,,
43,Johannesburg,163,-26.2044,28.0416,4434827,,South Africa,,,,,,,,,,,,,,,,,,
